,title,year,kind,genre,rating,runtime
0,What the #$*! Do We (K)now!?,2004,movie,"['Documentary', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",5.3,60
1,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991,movie,"['Comedy', 'Horror', 'Sci-Fi']",4.5,96
2,7 Seconds,2005,video movie,"['Action', 'Comedy', 'Crime', 'Thriller']",4.8,118
3,By Dawn's Early Light,1990,tv movie,"['Action', 'Drama', 'Thriller']",7.1,58
4,Seeta Aur Geeta,1972,movie,"['Adventure', 'Comedy', 'Drama', 'Family', 'Musical', 'Romance']",6.8,15
5,Strange Relations,2001,tv movie,"['Drama', 'Comedy']",7.6,75
6,Boycott,2001,tv movie,"['Drama', 'History']",7.2,87
7,FernGully 2: The Magical Rescue,1998,video movie,"['Animation', 'Adventure', 'Family', 'Fantasy']",4.6,117
8,Zatoichi's Conspiracy,1973,movie,"['Action', 'Drama']",7.1,92
9,TerrorVision,1986,movie,"['Comedy', 'Horror', 'Sci-Fi']",5.7,103
10,The Spitfire Grill,1996,movie,['Drama'],7.0,114
11,The Bonesetter,2003,video movie,"['Horror', 'Thriller']",1.6,82
12,Carandiru,2003,movie,"['Drama', 'Crime']",7.6,105
13,DragonHeart,1996,movie,"['Action', 'Adventure', 'Fantasy']",6.5,97
14,The Libertine,2004,movie,"['Biography', 'Drama', 'History', 'Romance']",6.3,24
15,Barbarian Queen,1985,movie,"['Adventure', 'Fantasy']",4.1,25
16,"At Home Among Strangers, a Stranger Among His Own",1974,movie,"['Action', 'Adventure', 'Drama', 'War', 'Western']",7.5,99
17,Iron Monkey 2,1996,movie,['Action'],4.7,110
18,Inside the Space Station,2000,tv movie,['Documentary'],6.6,150
19,Bruce Lee: A Warrior's Journey,2000,video movie,"['Documentary', 'Action', 'Biography']",8.0,98
20,Bear Cub,2004,movie,"['Comedy', 'Drama']",7.1,108
21,Briar Patch,2002,movie,"['Drama', 'Romance', 'Thriller']",5.5,85
22,Cube²: Hypercube,2002,movie,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",5.6,88
23,Coldblooded,1995,movie,"['Action', 'Comedy', 'Thriller']",6.7,232
24,Mr. Vampire,1985,movie,"['Action', 'Comedy', 'Fantasy', 'Horror']",7.4,68
25,DarkWolf,2003,video movie,['Horror'],2.7,101
26,Arachnid,2001,movie,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",3.9,82
27,The Cat and the Canary,1978,movie,"['Comedy', 'Mystery', 'Horror']",5.6,88
28,Goddess of Mercy,2003,movie,"['Action', 'Crime', 'Drama', 'Romance']",6.4,166
29,The Tricky Master,1999,movie,"['Action', 'Comedy']",5.9,134
30,Sleepover Nightmare,2005,video movie,['Horror'],3.6,86
31,Gentlemen of Fortune,1971,movie,"['Comedy', 'Crime', 'Drama', 'Mystery']",8.5,95
32,The Chorus,2004,movie,"['Comedy', 'Drama', 'Music']",7.9,45
33,Regular Guys,1996,movie,"['Comedy', 'Crime', 'Romance']",6.8,90
34,X2: X-Men United,2003,movie,"['Action', 'Sci-Fi', 'Thriller']",7.4,60
35,Chasing Freedom,2004,tv movie,['Drama'],6.5,84
